id,cpt,hpt
3,8.09729632863025,40.1618865556051
4,4.59732201508095,44.033477438934
5,6.44438712813534,46.0592522410403
6,4.81615770169066,43.2114840706621
8,4.12953444189961,46.0077056225936
11,13.5203947584062,44.7967338304567
16,8.54216533274299,36.2308108421505
17,4.38722520014907,46.5193729945076
18,0.110063951309545,46.5520153173501
20,0.948684360578322,40.2781745817948
21,0.648802190806885,44.0096252346689
22,11.1688640225933,39.7169272645218
24,0.0242683232466754,46.6551386996641
25,4.4272428484864,44.791833310137
26,8.51085552096757,40.8811364531588
